American River College,, 4700 College Oak Drive ,Sacramento, CA,95841,Sacramento,-121.3454962,38.6504101
Cosumnes River College,, 8401 Center Parkway ,Sacramento, CA,95823,Sacramento,-121.4216495,38.4535803
Folsom Lake College,, 10 College Parkway ,Folsom, CA,95630,Sacramento,-121.129444,38.6628526
Sacramento City College,, 3835 Freeport Boulevard ,Sacramento, CA,95822,Sacramento,-121.4868429,38.5395407
Kaplan College,, 4330 Watt Ave. Suite 400,Sacramento, CA,95821,Sacramento,-121.380621,38.6443105
CSU - Sacramento,, 6000 J St ,Sacramento, CA,95819,Sacramento,-121.4281692,38.5634901
